Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,185,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,174,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,231,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,223,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,119,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,19775,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,1758,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,1783,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,1981,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,2045,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,2194,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2086,Single Adults,all,Title 42
