Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,"75,499",Single Adults,all,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,"2,588,792",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUL,JUL,"327,197",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUN,JUN,"304,968",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAY,MAY,"349,140",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,APR,APR,"312,608",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAR,MAR,"305,651",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,FEB,FEB,"212,977",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JAN,JAN,"184,221",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,DEC,DEC,"210,110",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,NOV,NOV,"198,651",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,"183,269",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,"44,818",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,"5,489",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,"5,145",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,"4,931",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,"4,520",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,"4,473",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,"4,218",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,"3,965",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,"4,058",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,"4,279",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,"3,740",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,"3,130",Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,537,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,288,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,334,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,311,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,305,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,275,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,260,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,295,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,305,Accompanied Minors,all,Title 42
