Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2020,2020,MAR,MAR,497,all,all,FMUA,Title 42
2021,2021,MAR,MAR,21572,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,7879,all,all,FMUA,Title 42
2021,2021,FEB,FEB,9478,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,8015,all,all,FMUA,Title 42
2021,2021,JAN,JAN,4546,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,8483,all,all,FMUA,Title 42
2021,2021,DEC,DEC,3332,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,11905,all,all,FMUA,Title 42
2021,2021,NOV,NOV,3641,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,11620,all,all,FMUA,Title 42
2021,2021,OCT,OCT,4221,all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,13410,all,all,FMUA,Title 42
2019,2019,SEP,SEP,26919,all,all,Single Adults,all
2020,2020,SEP,SEP,49810,all,all,Single Adults,all
2021,2021,SEP,SEP,113030,all,all,Single Adults,all
2019,2019,AUG,AUG,27973,all,all,Single Adults,all
2020,2020,AUG,AUG,44095,all,all,Single Adults,all
2021,2021,AUG,AUG,103980,all,all,Single Adults,all
2019,2019,JUL,JUL,29053,all,all,Single Adults,all
2020,2020,JUL,JUL,36302,all,all,Single Adults,all
2021,2021,JUL,JUL,110835,all,all,Single Adults,all
2019,2019,JUN,JUN,35603,all,all,Single Adults,all
2020,2020,JUN,JUN,29623,all,all,Single Adults,all
2021,2021,JUN,JUN,117739,all,all,Single Adults,all
2019,2019,MAY,MAY,43598,all,all,Single Adults,all
2020,2020,MAY,MAY,21147,all,all,Single Adults,all
2021,2021,MAY,MAY,121643,all,all,Single Adults,all
2019,2019,APR,APR,37745,all,all,Single Adults,all
2020,2020,APR,APR,15609,all,all,Single Adults,all
2021,2021,APR,APR,111500,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),APR,APR,166814,all,all,Single Adults,all
2019,2019,MAR,MAR,36841,all,all,Single Adults,all
2020,2020,MAR,MAR,26564,all,all,Single Adults,all
2021,2021,MAR,MAR,100116,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),MAR,MAR,169863,all,all,Single Adults,all
2019,2019,FEB,FEB,28486,all,all,Single Adults,all
2020,2020,FEB,FEB,26042,all,all,Single Adults,all
2021,2021,FEB,FEB,71962,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),FEB,FEB,126966,all,all,Single Adults,all
2019,2019,JAN,JAN,24315,all,all,Single Adults,all
2020,2020,JAN,JAN,25278,all,all,Single Adults,all
2021,2021,JAN,JAN,65193,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),JAN,JAN,113825,all,all,Single Adults,all
2019,2019,DEC,DEC,23712,all,all,Single Adults,all
2020,2020,DEC,DEC,24812,all,all,Single Adults,all
2021,2021,DEC,DEC,64536,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),DEC,DEC,115322,all,all,Single Adults,all
2019,2019,NOV,NOV,26584,all,all,Single Adults,all
2020,2020,NOV,NOV,25769,all,all,Single Adults,all
2021,2021,NOV,NOV,63131,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),NOV,NOV,115553,all,all,Single Adults,all
2019,2019,OCT,OCT,27983,all,all,Single Adults,all
2020,2020,OCT,OCT,28117,all,all,Single Adults,all
2021,2021,OCT,OCT,62260,all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),OCT,OCT,109077,all,all,Single Adults,all
2019,2019,SEP,SEP,26919,all,all,Single Adults,Title 8
2020,2020,SEP,SEP,5414,all,all,Single Adults,Title 8
2021,2021,SEP,SEP,28119,all,all,Single Adults,Title 8
2019,2019,AUG,AUG,27973,all,all,Single Adults,Title 8
2020,2020,AUG,AUG,4513,all,all,Single Adults,Title 8
2021,2021,AUG,AUG,25922,all,all,Single Adults,Title 8
2019,2019,JUL,JUL,29053,all,all,Single Adults,Title 8
2020,2020,JUL,JUL,3352,all,all,Single Adults,Title 8
2021,2021,JUL,JUL,24970,all,all,Single Adults,Title 8
2019,2019,JUN,JUN,35603,all,all,Single Adults,Title 8
2020,2020,JUN,JUN,2714,all,all,Single Adults,Title 8
2021,2021,JUN,JUN,20967,all,all,Single Adults,Title 8
2019,2019,MAY,MAY,43598,all,all,Single Adults,Title 8
2020,2020,MAY,MAY,2100,all,all,Single Adults,Title 8
2021,2021,MAY,MAY,17686,all,all,Single Adults,Title 8
2019,2019,APR,APR,37745,all,all,Single Adults,Title 8
2020,2020,APR,APR,1409,all,all,Single Adults,Title 8
2021,2021,APR,APR,16933,all,all,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,77172,all,all,Single Adults,Title 8
